closing_AIR_2026_R1,opening_AIR,R1_gen_seats,institute
10132,6058,11,"Burdwan Medical College, Burdwan,BURDWAN MEDICAL COLLEGE, BABURBAG, POST- RAJBATI, DIST- PURBA BARDHAMAN, PIN-713104,WEST BENGAL"
10139,8806,2,"Mahraja Jajati Keshari Medical College (previously Government Medical College and Hospital, Jajpur Odhisha),Dean and Principal, Government Medical College and Hospital, Jajpur, Renamed as Maharaja Jajati Kesh"
10168,5374,5,"Shaheed Hasan Khan Mewati Government Medical College, Nalhar,THE DIRECTOR, SHAHEED HASAN KHAN,MEWATI GOVT. MEDICAL COLLEGE, NALHAR, NUH - HARYANA - 122107"
10187,6881,4,"Government Villupuram Medical College, Villupuram,THE DEAN, GOVERNMENT VILLUPURAM MEDICAL COLLEGE, TRICHY TRUNK ROAD, MUNDIYAMPAKKAM, VILLUPURAM"
10214,8741,2,"Government Medical College, Dausa,GMC DAUSA MITRAPURA BHANDAREJ MOD DAUSA"
10215,10215,1,"Thiruvarur Govt. Medical College, Thiruvarur,MASTER PLAN COMPLEX, VILAMAL VILLAGE, THIRUVARUR"
10303,8204,5,"Shaheed Nirmal Mahto Medical College & Hospital, Dhanbad (formely known as Patliputra Medical College, Dhanbad),PO BCCL TOWNSHIP KOYLANAGAR DHANBAD"
10313,10067,2,"Government Medical College, Jhunjhunu,jjnmedicalcollege@gmail.com"
10335,8037,6,"Bundelkhand Medical College, Sagar,Shivaji ward, tili Road, Sagar"
10357,9145,5,"Jawaharlal Nehru Medical College, Bhagalpur,SUKHRAJ RAI PATH, BHAGALPUR"
10360,9398,2,"Autonomous State Medical College, Akbarpur, Kanpur,Kumbhi, Akabarpur, Kanpur Dehat U.P."
10368,8730,3,"Government Medical College, Dungarpur,VILLAGE- THANA DUNGARPUR"
10383,10224,3,"Government Medical College, Faizabad,GANJA PARGANA- HAVELI AWADH, TAHSIL- SADAR AYODHYA (FAIZABAD)"
10502,5533,16,"Mahatma Gandhi Institute of Medical Sciences, Sevagram, Wardha,VILLAGE AND PO SEVAGRAM DISTRICT WARDHA MAHARASHTRA 442102"
10539,8372,4,"Anugrah Narayan Magadh Medical College, Gaya,SHERGHATI ROAD, GAYAJI"
10551,9191,5,"Government Medical College, Hanumangarh,Ganganagar-sangria Bypass Road Hanumangarh Junction"
10557,8690,5,"Employees State Insurance Corporation Medical College, Gulbarga,ESIC Medical College and Hospital, Sedam Road Gulbarga-585106 Karnataka"
10585,8324,5,"Dr. LAXMINARAYAN PANDEY GOVT. MEDICAL COLLEGE, RATLAM,Gram Banjali, Sailana Road, NH927A, Madhya Pradesh 457001, India"
10587,7201,2,"Veer Chandra Singh Garhwali Govt. Medical Sc. & Research Instt, Srinagar, Pauri Garhwal,BADRINATH MARG, SRIKOT, SRINAGAR - PAURI GARHWAL"
10621,9284,2,"Government Medical College, Jaisalmer,Government Medical College, NH68, Ramgarh Road, Badabagh, Jaisalmer"
10638,10341,3,"Government Medical College, Bundi,GOVT MEDICAL COLLEGE BUNDI"
10700,10599,2,"Rajkiya Medical College Jalaun, Orai, Uttar Pradesh,Kalpi Road Orai Jalaun"
10842,7725,9,"Dr Vaishampayan Memorial Medical College, Solapur,In Front of District Civil Court, Solapur."
10855,8265,6,"College of Medicine and JNM Hospital, Kalyani, Nadia,A Block PS- Kalyani District - Nadia,West Bengal,Pin 741235"
10861,9690,6,"Pt. Raghunath Murmu Medical College and Hospital, Baripada, Odisha,AT-Rangamatia ,PO-Sankhabhanga , Via-Laxmiposi, Dist- Mayurbhanj, Odisha"
10873,8828,4,"Government Medical College, The Nilgiris,No. 1, INDU NAGAR, MYSORE ROAD, UDHAGAMANDALAM, NILGIRIS DISTRICT"
10943,4450,9,"Shimoga Institute of Medical Sciences, Shimoga,SAGAR ROAD, MCGANN HOSPITAL CAMPUS, SHIVAMOGGA"
11084,8527,5,"Government Medical College, Karur,SANAPIRATTI VILLAGE NORTH GANDHIGRAMAM KARUR TAMILNADU"
11100,5666,5,"PT NEKI RAM SHARMA GOVERNMENT MEDICAL COLLEGE, BHIWANI,PANDIT NEKI RAM SHARMA GOVERNMENT MEDICAL COLLEGE, HANSI ROAD, NEAR VITA MILK PLANT, BHIWANI, HARYAN"
11127,10476,3,"Government Medical College, Dholpur,411, OLD BARI ROAD, DHOLPUR"
11135,9006,5,"Government Medical College, Badaun, U.P.,Gunera Wazidpur Ujhani Road Badaun U.P. 243601"
11210,8317,8,"Rajashree Chatrapati Shahu Maharaj Government Medical College, Kolhapur,Rajarshee Chhatrapati Shahu Maharaj Government Medical College, R. K. Nagar Road, Shenda Park, Kol"
11243,11243,1,"Rajkiya Allopathic Medical College, Bahraich, UP,K.D.C Road Bahraich-271801"
11310,7206,2,"Government Medical College, Dindigul,1 Nallampatti Road Adiyanoothu village Dindigul"
11370,4009,9,"Government Medical College, Miraj,Pandharpur Road Miraj tal Miraj Dist sangli"
11422,9148,5,"Government Medical College, Firozabad,DAULATTAPUR JALESHAR ROAD NARKHI FIROZABAD"
11457,11457,1,"Government Medical College, Rajouri, J&K,Government Medical College, Kheora, Mehra, Rajouri, Jammu and Kashmir."
11560,10649,3,"Government Allopathic Medical College, Banda, UP,RANI DURGAVATI MEDICAL COLLEGE, NARAINI ROAD, BANDA-210001"
11600,8387,7,"Soban Singh jeena Government institute of Medical science & Research, Almora,Near Vikas Bhawan Pandeykhola Almora"
11605,7068,5,"Government Medical College & Hospital Cuddalore, Since- 09-05-2025 (erstwhile Rajah Muthiah Medical College, cuddalore, T.N),Government Medical College and Hospital, Cuddalore District, Erstwhile Rajah Muthiah Medical College"
11615,6539,10,"Vijaynagar Institute of Medical Sciences, Bellary,Cantonment, Ballari"
11764,11764,1,"Government Medical College, Bettiah,Government Medical College Bettiah West Champaran Bihar- 845438"
11791,10513,3,"Government Medical College, Shivpuri, MP,Near Katha Mill, Gwalior Bypass Highway, Shivpuri"
11792,8862,13,"North Bengal Medical College, Darjeeling,Sushrutanagar, Darjeeling"
11808,6508,2,"ESIC Medical College and Hospital, Beltola,No. 242, Pir Ajan Fakir Road, Beltola, Guwahati, Assam-781022"
11884,9232,3,"Government Medical College, Shahjahanpur, UP,AUTONOMOUS STATE MEDICAL COLLEGE ALLIED PANDIT RAM PRASAD BISMIL HOSPITAL SHAHJAHANPUR UTTAR PRADESH"
11895,8541,4,"Autonomous State Medical College Society, Etah, Uttar Pradesh,NAGLA PADIHAR SIRAO MAHARARA LINK, PAC ROAD, SAKEET, ETAH,U.P.- 207001"
11922,10696,6,"Government Medical College, Banswara,MADARESHWAR, RATLAM ROAD BANSWARA"
11947,9377,5,"Barasat Government Medical College & Hospital,80 Jessore Road Banamalipur JL NO 80and Uttorhat JL no 78 Barasat North Twenty Four Parganas 700124"
12042,10083,5,"Government Medical College, Karauli,mandrayal road karauli"
12136,7605,8,"Dr. Shankarrao Chavan Govt. Medical College, Nanded,VISHNUPURI NANDED MAHARASHTRA 431606"
12192,12192,1,"Government medical college, tonk, Government Medical College,Yusufpura at Charai, Rajasthan 304001"
12312,8103,6,"Late Shri Baliram Kashyap Memorial NDMC Govt. Medical College, Jagdalpur,LATE BALIRAM KASHYAP MEMORIAL GOVT. MEDICAL COLLEGE, DIMRAPAL GEEDAM ROAD , JAGDALPUR DIST-BASTAR"
12353,10579,3,"Virendra Kumar Sakhlecha Government Medical College,Kanawati, Mhow-Naseerabad Road, Neemuch"
12449,7740,6,"Government Medical College, Namakkal,353 MASTER PLAN COMPLEX SILUVAMPATTY NAMAKKAL"
12616,9940,5,"Diamond Harbour Government Medical College and Hospital, West Bengal,New Town, Post-Diamond Harbour, PS- Diamond Harbour, District South 24 Parganas"
12707,6483,13,"Assam Medial College, Dibrugarh,Borbari, Dibrugarh"
12710,7730,10,"Bankura Sammilani Medical College, Bankura,Principal, Bankura Sammilani Medical College, Lokepur, PO- Kenduadihi, Bankura, Pin- 722102"
12713,9368,5,"Government Medical College, Rampur, Basti,RAMPUR TAHSIL SADAR BASTI BASTI"
12751,12175,4,"Government Medical College, Datia, MP,NEAR 29TH BATTALION, N.H.75, DATIA"
12759,10756,4,"Government Medical College, Baran,Melkhedi, Chhapar Melkhedi Road Baran"
12772,12772,1,"Government Medical College Janjgir, Champa,government medical college janjgir champa, village- pendri, dist- janjgir champa. C.G"
12787,10616,4,"Government Medical College, Kathua,Chak Sajjan Kathua"
12951,12951,1,"Autonomous State Medical College Society, Fatehpur,Autonomous State Medical College Village chittaura near Allipur GT road fatehpur"
12959,9699,6,"Dharanidhar Medical College and Hospital (previously Government Medical College, Keonjhar),AT-KABITRA, NEAR DD COLLEGE, KEONJHARGARH, PS- TOWN POLICE STATION, DIST-KEONJHAR, ODISHA"
12970,10604,6,"Saheed Laxman Nayak Medical College & Hospital, Koraput,AT-JANIGUDA,KORAPUT"
