closing_AIR_2026_R1,opening_AIR,R1_gen_seats,institute
4191,3104,11,"H.B.T. Medical College & Dr. R.N. Cooper Municipal General Hospital, Juhu, Mumbai,JUHU, VILEPARLE WEST MUMBAI"
4298,3675,4,"T D Medical College, Alleppey (Allappuzha),GOVERNMENT T.D.MEDICAL COLLEGE, VANDANAM.PO, ALAPPUZHA"
4336,1771,7,"Andhra Medical College, Visakhapatnam,MAHARANI PETA NEAR COLLECTORATE KGH CAMPUS VISAKHAPATNAM"
4372,4021,2,"Government Medical College, Kota,Rangbari Road Kota"
4374,3455,7,"Indira Gandhi Institute of Medical Sciences, Sheikhpura, Patna,RAZA BAZAR, SHEIKHPURA, PATNA"
4381,3251,7,"Employees State Insurance Coporation Medical College, Sanath Nagar, Hyderabad,Sanathnagar, Hyderabad"
4389,4387,2,"Government Medical College, Manjeri, Malapuram Dist.,GOVERNMENT MEDICAL COLLEGE, MANJERI, MALAPPURAM"
4420,3523,3,"Government Medical College, Ernakulam,HMT COLONY P O, KALAMASSERY, ERNAKULAM DISTRICT"
4422,1720,8,"GSVM Medical College, Kanpur,G.S.V.M Medical College Kanpur Swaroop Nagar Kanpur U.P 208002"
4440,3816,3,"Thanjavur Medical College, Thanjavur,Thanjavur Medical College,Thanjavur"
4538,1318,2,"Govt. Mohan Kumaramangalam Medical College, Salem,MAJEERA KOLLAPPATTI, Salem steel Plant Road Salem 636030 TamilNadu"
4540,3965,8,"Jawaharlal Nehru Medical College, Ajmer,NEAR PATEL STADIUM AJMER"
4601,3897,5,"Government Institute of Medical Sciences, Kasna, Greater Noida,GOVERNMENT INSTITUTE OF MEDICAL SCIENCES GREATER NOIDA GAUTAM BUDH NAGAR UTTAR PRADESH"
4619,3961,8,"Dr. Rajendar Prasad Government Medical College, Tanda, H.P,Dr.Rajendra Prasad Govt.Medical College Kangra at Tanda, H.P."
4818,3496,13,"Nilratan Sircar Medical College, Kolkata,138 AJC Bose Road, Kolkata - 700014"
4899,3181,12,"MKCG Medical College, Berhampur,MKCG MEDICAL COLLEGE CAMPUS, BERHAMPUR, GANJAM"
4909,3166,4,"Government Vellore Medical College, Vellore,Government Vellore Medical College and Hospital, Adukkamparai, Vellore."
4918,3420,7,"Pandit Deendayal Upadhyay Medical College, Rajkot,Civil Hospital Campus, Jamnagar Road Rajkot 360001"
4942,3291,6,"LLRM Medical College, Meerut,LALA LAJPAT RAI MEMORIAL, MEDICAL COLLEGE, GARH ROAD, MEERUT"
4971,2050,7,"ESIC Medical College & PGIMSR, K.K Nagar, Chennai,ASHOK PILLAR ROAD, KK NAGAR, CHENNAI"
5035,3157,8,"Rajendra Institute of Medical Sciences, Ranchi,Director, Rajendra Institute of Medical Sciences, Bariatu, Ranchi"
5072,2182,15,"Gandhi Medical College, Bhopal,Royal Market Sultania Road Bhopal"
5115,2496,8,"Employees State Insurance Corporation Medical College, Bangalore,ESIC Medical College and Hospital, Rajajinagar, Bengaluru-560010"
5211,5211,1,"ESIC MEDICAL COLLEGE AND HOSPITAL, JAIPUR,LAXMI NAGAR AJMER ROAD SODALA JAIPUR RAJASTHAN"
5230,4231,5,"Government Medical College L.T. Marg, Near L.T. Marg Police Station, Mumbai - 400001,Gokuldas Tejpal Hospital Premises L T Marg Near L T Marg Police Station Near Crawford Market Mumbai"
5274,4794,4,"Kalpana Chawala Govt. Medical College, Karnal, Haryana,Kalpana Chawla Govt. Medical College,Karnal, Haryana"
5464,4541,4,"Employees State Insurance Corporation Medical College,Alwar,ESIC Medical College and Hospital Desula MIA Alwar Rajasthan India 301030"
5529,4823,6,"Shri Lal Bahadur Shastri Government Medical College, Mandi, HP,Mandi at Nerchowk PO Bhangrotu Tehsil Balh District Mandi"
5563,4963,9,"S N Medical College, Agra,HOSPITAL ROAD AGRA"
5572,3641,9,"Guntur Medical College, Guntur,Kannavarithoa Opp. NGOs Association Building"
5574,5574,1,"Government Medical College & ESIC Hospital, Coimbatore, TamilNadu,KAMARAJAR ROAD, VARADHARAJAPURAM, SINGANALLUR, COIMBATORE"
5603,3095,10,"Moti Lal Nehru Medical College, Allahabad,Principal Office Moti Lal Nehru Medical College, Lowther Road George Town Prayagraj"
5647,4660,4,"Government Medical College,ESIC, Parippally, Kollam,Parippally Kollam 691574"
5677,3103,10,"Veer Surendra Sai Institute of Medical Sciences and Research, Burla,AYURVIHAR,BURLA, SAMBALPUR"
5690,3439,8,"Doon Medical College, Dehradun, Uttarakhand,Government Doon Medical College, Dehrakhas Patel Nagar, Dehradun 248001"
5723,5058,2,"Govt. Medical College,Pariyaram, Kannur (Prev. Known as Academy of Medical Sciences),P.O Pariyaram Medical College, Kannur, Kerala 670503"
5736,3717,13,"Calcutta National Medical College, Kolkata,32, GORACHAND ROAD, PARK CIRCUS, KOLKATA - 700014"
5776,3836,14,"Government Medical College, Amritsar,CIRCULAR ROAD, AMRITSAR-143001"
5777,4324,5,"Rajiv Gandhi Medical College and Chhatrapati Shivaji Maharaj Hospital, Thane,THANE BELAPUR ROAD KALWA THANE WEST"
5797,5295,8,"BRD Medical College, Gorakhpur,MAHARAJGANJ ROAD,GORAKHPUR"
5850,5243,3,"ESIC MEDICAL COLLEGE AND HOSPITAL, NOIDA,A-3, Tulsi Marg, Sector-24, Noida"
5874,5409,4,"Shri Kalyan Govt. Medical College, Sikar, Rajasthan,Shri Kalyan Govt. Medical College, Bajaj Gram, Sanwali, NH 8 A, Sikar 332001"
5888,2834,3,"Tirunelveli Medical College, Tirunelveli,THE DEAN, TIRUNELVELI MEDICAL COLLEGE, HIGHGROUND, TIRUNELVELI-11"
6160,5018,7,"Nalanda Medical College, Patna,OLD BYEPASS ROAD, KANKERBAGH, PATNA"
6167,5132,4,"K A P Viswanathan Government Medical College, Trichy,PERIYAMILAGUPARAI, TIRUCHIRAPALLI-620001"
6175,3108,9,"MP Shah Medical College, Jamnagar,PANDIT NEHRU MARG, JAMNAGAR 361008"
6186,4048,11,"Indira Gandhi Medical College & Hospital, Nagpur,MAYO HOSPITAL CENTRAL AVENUE ROAD NEAR RAM ZULA NAGPUR"
6256,3282,14,"Karnataka Medical College & Research Institute, Hubballi,P B ROAD VIDYANAGAR HUBBALLI"
6445,3711,13,"Gauhati Medical College, Guwahati,7th, Floor Mother & Child Hospital (MCH) Bhangagarh, Guwahati-781032, Assam."
6548,4112,13,"Gajra Raja Medical College, Gwalior,VEER SAVARKAR ROAD, GWALIOR"
6575,5328,6,"Jhalawar Medical College, Jhalawar,NH-52, KOTA ROAD,JHALAWAR,RAJASTHAN"
6813,4501,7,"Government Medical College (Prev.Uttarakhand Forest Hospital Trust Med.Col.), Haldwani,Government Medical College, Rampur Road Haldwani, Distt. Nainiatl"
6846,3688,8,"Dr B R Ambedkar State Institute of Medical Sciences, SAS Nagar , Mohali,Dr BR Ambedkar State Institute of Medical Sciences Sector 56 Phase- 6 S A S Nagar (Mohali) Punjab 16"
6871,3129,9,"Government Medical College, Aurangabad,Government Medical College, Aurangabad, Jubli Park, Panchakki Road, Aurangabad (M.S.)."
6882,5970,5,"Maharani Laxmi Bai Medical College, Jhansi,M.L.B. MEDICAL COLLEGE, KANPUR ROAD, JHANSI"
6950,4623,2,"ESIC MEDICAL COLLEGE AND HOSPITAL, ANDHERI,CENTRAL ROAD, MIDC, ANDHERI (EAST) MUMBAI"
6985,5015,6,"Government Medical College (Institute of Integrated Medical Sciences), Yakkara, Palakkad,NH-544, EAST YAKKARA, KUNNATHURMEDU POST, PALAKKAD-678013"
7038,5924,2,"Government Medical College, Idukki,Principal, Govt Medical College Idukki, Idukki colony P.O.,Idukki District"
7111,7111,1,"Government Dharmapuri Medical College, Dharmapuri,NETHAJI BYPASS ROAD DHARMAPURI"
7153,6324,5,"Sri Jagannath Medical College & Hospital, Puri,BALIGUALI SAMANGARA PURI PIN 752004 ODISHA"
7171,6296,3,"Government Medical College, Pali, Rajasthan,NH- 62,SumerpurRoad,Ramasia.Hemawas,Pali"
7243,3105,13,"Goa Medical College, Panaji,RAJIV GANDHI MEDICAL COMPLEX, BAMBOLIM, GOA"
7323,7323,1,"Government Medical College, Pudukottai, Tamil Nadu,MULLUR PUDUKKOTTAI PO PUDUKKOTTAI"
7380,7100,2,"Government Medical College, Bhilwara, Rajasthan,Sindari Ke Balaji Road, Sanganer, Bhilwara"
7384,6645,5,"Government Medical College & Hospital, Baramati,Plot No P107 MIDC area Opposite Women Hospital Baramati Taluka Baramati District Pune"
7473,5620,5,"Government Medical College, Bhavnagar,Government Medical College, Near Life Science Department, Gradi Gate, Maharaja Krishnakumarsinghji B"
7504,4781,12,"Government Medical College, Jammu,GOVERNMENT MEDICAL COLLEGE, BAKSHI NAGAR, JAMMU 180001"
7505,6925,2,"ESIC MEDICAL COLLEGE AND HOSPITAL,INDORE,ESIC Medical College and Hospital, Nanda Nagar, Indore"
7515,6315,12,"Netaji Subhash Chandra Bose Medical College, Jabalpur,NAGPUR ROAD, JABALPUR, STATE-M.P.PIN-482003"
7525,3772,10,"Pt. J N M Medical College, Raipur,In front of Central Jail, Jail Road Raipur C.G."
7583,4592,8,"Uttar Pradesh University of Medical Sciences, (Prev. UP Rural Inst.of Med.Sc&R) Etawah,SAIFAI ETAWAH"
7681,5407,2,"Government Medical College, Churu,Shekhawat Colony, Civil Lines Road,Churu"
7781,5147,11,"Mandya Institute of Medical Sciences, Mandya,BANGALORE-MYSORE MAIN ROAD, MANDYA"
7801,3647,8,"Sher-I-Kashmir Instt. Of Medical Sciences, Srinagar,SKIMS MC BEMINA , SRINAGAR, JAMMU KASHMIR"
7810,4969,5,"Government Medical College, Nagaur,gmcnagaur@gmail.com"
7811,6552,2,"ESIC Medical College Ludhiana,ESI CO ORPORATION , BHARAT NAGAR CHOWK LUDHIANA"
7817,4780,15,"Guru Govind Singh Medical College, Faridkot,Sadiq Road, Faridkot."
7832,4533,5,"Government Medical College, Bharatpur, Rajasthan,Rampura, NH-21,Sever Road,Bharatpur,Rajasthan"
7873,6211,4,"Government Medical College, Konni,GOVERNMENT MEDICAL COLLEGE KONNI KUMMANNOOR PO KONNI PATHANAMTHITTA 689691"
7915,7001,4,"Darbhanga Medical College, Lehriasarai,Sheetal Prasad Marg, Laheriasarai, Darbhanga"
7919,6789,7,"M G M Medical College, Jamshedpur,Dimna Road, Mango, Jamshedpur"
7975,6996,2,"BPS Government Medical College for Women, Sonepat,DIRECTOR, BPS GOVT MEDICAL COLLEGE FOR WOMEN KHANPUR KALAN SONEPAT-131305 (Female Seat only )"
8054,6214,4,"Theni Government Medical College, Theni,G. Vilakku, Shanmugasundarapuram village, Aundipatti Taluk, Theni District, Tamilnadu"
8078,3932,12,"RG Kar Medical College, Kolkata,R G Kar Medical College 1 Khudiram bose sarani, Kolkata"
8120,4652,5,"Government Medical College, Thiruvallur,BLOCK 1 MASTER PLAN COMPLEX, THIRUVALLUR COLLECTORATE, PERUMBAKKAM VILLAGE, THIRUVALLUR, TAMIL NADU"
8125,6758,3,"Government Medical College, Wayanad,Government Medical College, Wayanad, Mananthavady P.O., Wayanad, Kerala- 670645"
8145,6158,6,"Dr. Radhakrishnan Government Medical College, Hamirpur, H.P,Dr. Radhakrishnan Government Medical College,Hamirpur, Himachal Pradesh-177001"
8198,6919,4,"Government Medical College, Nahan, Sirmour H.P.,Nahan, District Sirmaur, Himachal Pradesh"
8212,7630,4,"Government Medical College, Alwar,Government Medical College Alwar Jail Circle alwar"
8301,7082,2,"ESIC Medical College and Hospital, VARANASI,ESIC MEDICAL COLLEGE AND HOSPITAL, PANDEYPUR,VARANASI U. P. 221002"
8311,4189,9,"Kurnool Medical College, Kurnool,BUDHAWARPET, KURNOOL."
8436,8436,1,"Government Medical College Kasaragod,Govt. Medical College, Kasaragod, Ukkinadka, Badiadka panchayath, Kerala-671552"
8498,2255,9,"Rangaraya Medical College, Kakinada,PITHAPURAM ROAD, KAKINADA"
8528,8175,3,"Government Medical College, Chittorgarh,Government Medical College Chittorgarh Bojunda - Udaipur Road Chittorgarh"
8556,4358,3,"Indira Gandhi Medical College & Research Institute, Puducherry,Vazhudavour Road, Kadirkamam"
8562,7591,3,"Shaikh-UL-Hind Maulana Mahmood Hasan Medical College, Saharanpur,Ambala Road, Pilakhni, Saharanpur"
8626,6958,7,"College of Medicine and Sagore Dutta Hospital, Kolkata,578, B.T. Road, Kamarhati, Kolkata"
8651,4086,5,"Government Medical College, Haridwar,Jagjeetpur Laksar road Haridwar"
8727,2176,6,"VARDHMAN INSTITUTE OF MEDICAL SCIENCES, NALANDA,BMIMS, PAWAPURI NALNADA"
8744,3168,3,"Thoothukudi Medical College, Thoothukudi,KAMARAJ NAGAR, 3rd MILE, THOOTHUKUDI"
8759,6040,7,"KanyaKumari Government Medical College, Asaripallam,ASARIPALLAM, KANYAKUMARI DISTRICT-629201"
8767,6840,5,"Shri Atal Bihari Vajpayee Government Medical College, Faridabad,Shri Atal Bihari Vajpayee Government Medical College Chhainsa Faridabad"
8797,8440,6,"Pt. Jawahar Lal Nehru Government Medical College, Chamba,Pt. Jawaharlal Nehru Govt. Medical College Chamba"
8812,6979,5,"NAMO Medical Education & Research Institute, Govt Medical College Silvassa,NAMO Medical Education and Research Institute, next to Sayli cricket stadium, Sayli Road, Silvassa"
8863,7521,13,"Shyam Shah Medical College, Rewa,NEAR DHOBIYA TANKI, JAIL ROAD, REWA"
8867,8256,3,"Government Medical College, Sri Ganganagar,Government Medical college sriganganagar rajasthan"
9004,7751,4,"Government Medical College, Barmer,NH-15, JAISALMER ROAD, VILLAGE-JALIPA, BARMER"
9070,7684,7,"Dr. Bhimrao Ramji Ambedkar, Government Medical College, Kannauj, U.P.,Tirwa Road, Kannauj"
9088,7879,2,"Government Medical College, Sirohi,SIROHI SHIVGANJ HIGHWAY,NEAR AMBESHWAR ,VILLAGE- KOLAR, TEHSIL- SIVGANJ,DIST- SIROHI"
9122,5254,11,"Kakatiya Medical College, Warangal,SVP Road, Warangal"
9133,8558,3,"Government Medical College & Super facility Hospital, Azamgarh,Government Medical College and Super Facility Hospital Chakrapanpur Post Office-Kanaila, Azamgarh"
9265,3718,10,"S V Medical College, Tirupati,NEAR VIVEKANDANDA CIRCLE, ALIPIRI ROAD TIRUPATI"
9275,7478,7,"Government Medical College & Hospital (Renamed as Fakir Mohan Medical College & Hospital), Balasore,Remuna, Baleshwar, 756019"
9305,1268,10,"Belagavi Institute of Medical Sciences, Belagavi,DR B R AMBEDKAR ROAD BELAGAVI."
9360,6598,6,"Government Erode Medical College & Hospital, Perundurai (Formerly IRT Perundurai Medical College),GOVERNMENT ERODE MEDICAL COLLEGE PERUNDURAI, PERUNDURAI SANATORIUM POST ERODE DISTRICT"
9376,6722,3,"Government Medical College & Hospital (Renamed as Bhima Bhoi Medical College & Hospital), Balangir,PO - Rajendra College, District- Balangir, Odisha."
9415,9089,4,"Employees State Insurance Corporation Medical College, Patna,ESIC Medical College and Hospital, Arrah Danapur Road, Sikandarpur, Bihta, Patna- 801103"
9419,5513,8,"Employees State Insurance Corporation Medical College, Joka, Kolkata,DIAMOND HARBOUR ROAD POST OFFICE JOKA KOLKATA 700104"
9525,7529,5,"Government Medical College, Sawai Madhopur,Government Medical College, Sawai Madhopur Village Thingla, Sawai Madhopur, Rajasthan"
9640,6916,10,"Hassan Institute of Medical Sciences, Hassan,K R PURAM, BEHIND DC OFFICE,HASSAN"
9742,7889,5,"Chhattisgarh Institute of Medical Sciences, Bilaspur,GOND PARA, SADAR BAZAAR BILASPUR - 495001 (CG)"
9749,9035,4,"Government Medical College,Nashik,Hindu Hruday Samrat Vandaniya Balasaheb Thakare Hospital and Bytco Hospital Near Durga Mata Mandir R"
9783,8377,7,"Government Medical College, Vidisha, MP,NH 86 INFRONT OF KHEL PARISAR SANCHI ROAD VIDISHA"
9793,6564,5,"Government Medical College, Tiruppur,18, DHARAPURAM ROAD, TIRUPPUR, TAMILNADU 641608"
9794,8717,3,"Kalyan Singh Government Medical College,339, CHANDPUR ROAD, NEAR SADAR TEHSIL, BULANDSHAHR"
9833,8096,4,"Government Thiruvannamalai Medical College, Thiruvannamalai,District Collectorate, Master Plan Complex, Vengikkal, Thiruvannamalai"
9873,9334,5,"Mahamaya Rajkiya Allopathic Medical College, Ambedkarnagar,VILLAGE SADDARPUR POST SURAPUR DISTRICT AMBEDKAR NAGAR"
10050,5745,3,"North Eastern Indira Gandhi Regional Instt. of Health and Medical Sciences, Shillong,Mawdiangdiang Shillong East Khasi Hills District"
10092,8194,3,"Shri Krishna Medical College, Muzzafarpur,UMANAGAR MUZAFFARPUR"
10122,4723,9,"Government Siddhartha Medical College, Vijaywada,Beside New Government General Hospital Gunadala Vijayawada"
10132,6058,11,"Burdwan Medical College, Burdwan,BURDWAN MEDICAL COLLEGE, BABURBAG, POST- RAJBATI, DIST- PURBA BARDHAMAN, PIN-713104,WEST BENGAL"
10139,8806,2,"Mahraja Jajati Keshari Medical College (previously Government Medical College and Hospital, Jajpur Odhisha),Dean and Principal, Government Medical College and Hospital, Jajpur, Renamed as Maharaja Jajati Kesh"
10168,5374,5,"Shaheed Hasan Khan Mewati Government Medical College, Nalhar,THE DIRECTOR, SHAHEED HASAN KHAN,MEWATI GOVT. MEDICAL COLLEGE, NALHAR, NUH - HARYANA - 122107"
10187,6881,4,"Government Villupuram Medical College, Villupuram,THE DEAN, GOVERNMENT VILLUPURAM MEDICAL COLLEGE, TRICHY TRUNK ROAD, MUNDIYAMPAKKAM, VILLUPURAM"
10214,8741,2,"Government Medical College, Dausa,GMC DAUSA MITRAPURA BHANDAREJ MOD DAUSA"
10215,10215,1,"Thiruvarur Govt. Medical College, Thiruvarur,MASTER PLAN COMPLEX, VILAMAL VILLAGE, THIRUVARUR"
10303,8204,5,"Shaheed Nirmal Mahto Medical College & Hospital, Dhanbad (formely known as Patliputra Medical College, Dhanbad),PO BCCL TOWNSHIP KOYLANAGAR DHANBAD"
10313,10067,2,"Government Medical College, Jhunjhunu,jjnmedicalcollege@gmail.com"
10335,8037,6,"Bundelkhand Medical College, Sagar,Shivaji ward, tili Road, Sagar"
10357,9145,5,"Jawaharlal Nehru Medical College, Bhagalpur,SUKHRAJ RAI PATH, BHAGALPUR"
10360,9398,2,"Autonomous State Medical College, Akbarpur, Kanpur,Kumbhi, Akabarpur, Kanpur Dehat U.P."
10368,8730,3,"Government Medical College, Dungarpur,VILLAGE- THANA DUNGARPUR"
10383,10224,3,"Government Medical College, Faizabad,GANJA PARGANA- HAVELI AWADH, TAHSIL- SADAR AYODHYA (FAIZABAD)"
10502,5533,16,"Mahatma Gandhi Institute of Medical Sciences, Sevagram, Wardha,VILLAGE AND PO SEVAGRAM DISTRICT WARDHA MAHARASHTRA 442102"
10539,8372,4,"Anugrah Narayan Magadh Medical College, Gaya,SHERGHATI ROAD, GAYAJI"
10551,9191,5,"Government Medical College, Hanumangarh,Ganganagar-sangria Bypass Road Hanumangarh Junction"
10557,8690,5,"Employees State Insurance Corporation Medical College, Gulbarga,ESIC Medical College and Hospital, Sedam Road Gulbarga-585106 Karnataka"
10585,8324,5,"Dr. LAXMINARAYAN PANDEY GOVT. MEDICAL COLLEGE, RATLAM,Gram Banjali, Sailana Road, NH927A, Madhya Pradesh 457001, India"
10587,7201,2,"Veer Chandra Singh Garhwali Govt. Medical Sc. & Research Instt, Srinagar, Pauri Garhwal,BADRINATH MARG, SRIKOT, SRINAGAR - PAURI GARHWAL"
10621,9284,2,"Government Medical College, Jaisalmer,Government Medical College, NH68, Ramgarh Road, Badabagh, Jaisalmer"
10638,10341,3,"Government Medical College, Bundi,GOVT MEDICAL COLLEGE BUNDI"
10700,10599,2,"Rajkiya Medical College Jalaun, Orai, Uttar Pradesh,Kalpi Road Orai Jalaun"
10842,7725,9,"Dr Vaishampayan Memorial Medical College, Solapur,In Front of District Civil Court, Solapur."
10855,8265,6,"College of Medicine and JNM Hospital, Kalyani, Nadia,A Block PS- Kalyani District - Nadia,West Bengal,Pin 741235"
10861,9690,6,"Pt. Raghunath Murmu Medical College and Hospital, Baripada, Odisha,AT-Rangamatia ,PO-Sankhabhanga , Via-Laxmiposi, Dist- Mayurbhanj, Odisha"
10873,8828,4,"Government Medical College, The Nilgiris,No. 1, INDU NAGAR, MYSORE ROAD, UDHAGAMANDALAM, NILGIRIS DISTRICT"
10943,4450,9,"Shimoga Institute of Medical Sciences, Shimoga,SAGAR ROAD, MCGANN HOSPITAL CAMPUS, SHIVAMOGGA"
11084,8527,5,"Government Medical College, Karur,SANAPIRATTI VILLAGE NORTH GANDHIGRAMAM KARUR TAMILNADU"
11100,5666,5,"PT NEKI RAM SHARMA GOVERNMENT MEDICAL COLLEGE, BHIWANI,PANDIT NEKI RAM SHARMA GOVERNMENT MEDICAL COLLEGE, HANSI ROAD, NEAR VITA MILK PLANT, BHIWANI, HARYAN"
11127,10476,3,"Government Medical College, Dholpur,411, OLD BARI ROAD, DHOLPUR"
11135,9006,5,"Government Medical College, Badaun, U.P.,Gunera Wazidpur Ujhani Road Badaun U.P. 243601"
11210,8317,8,"Rajashree Chatrapati Shahu Maharaj Government Medical College, Kolhapur,Rajarshee Chhatrapati Shahu Maharaj Government Medical College, R. K. Nagar Road, Shenda Park, Kol"
11243,11243,1,"Rajkiya Allopathic Medical College, Bahraich, UP,K.D.C Road Bahraich-271801"
11310,7206,2,"Government Medical College, Dindigul,1 Nallampatti Road Adiyanoothu village Dindigul"
11370,4009,9,"Government Medical College, Miraj,Pandharpur Road Miraj tal Miraj Dist sangli"
